impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.674,219.075
nccl,512,2048,5.105,401.211
nccl,1024,4096,4.945,828.345
nccl,2048,8192,4.954,1653.500
nccl,4096,16384,5.225,3135.728
nccl,8192,32768,5.755,5693.411
nccl,16384,65536,5.225,12542.912
nccl,32768,131072,5.245,24988.901
nccl,65536,262144,5.220,50217.476
nccl,131072,524288,5.209,100641.797
nccl,262144,1048576,5.205,201468.003
nccl,524288,2097152,5.211,402475.087
nccl,1048576,4194304,5.020,835534.839
nccl,2097152,8388608,5.111,1641444.931
nccl,4194304,16777216,4.696,3572924.305
nccl,8388608,33554432,5.060,6630741.501
nccl,16777216,67108864,4.705,14262730.008
nccl,33554432,134217728,4.770,28140462.555
nccl,67108864,268435456,4.710,56993161.571
nccl,134217728,536870912,5.230,102657844.253
nccl,268435456,1073741824,4.729,227053170.021
nccl,536870912,2147483648,5.029,426982661.993
nccl,1073741824,4294967296,4.705,912814720.521
naive,256,1024,93.445,10.958
naive,512,2048,87.509,23.403
naive,1024,4096,93.015,44.036
naive,2048,8192,71.534,114.519
naive,4096,16384,98.310,166.657
naive,8192,32768,76.210,429.967
naive,16384,65536,96.561,678.703
naive,32768,131072,99.715,1314.466
naive,65536,262144,86.451,3032.299
naive,131072,524288,89.225,5876.049
naive,262144,1048576,743.545,1410.238
naive,524288,2097152,617.274,3397.441
naive,1048576,4194304,671.345,6247.613
naive,2097152,8388608,733.740,11432.666
naive,4194304,16777216,1054.825,15905.219
naive,8388608,33554432,1433.150,23413.070
naive,16777216,67108864,2195.840,30561.820
naive,33554432,134217728,3411.119,39347.126
naive,67108864,268435456,5277.110,50867.888
naive,134217728,536870912,9798.831,54789.283
naive,268435456,1073741824,20211.730,53124.687
naive,536870912,2147483648,37541.845,57202.401
naive,1073741824,4294967296,73473.644,58455.890
pipelined,256,1024,171.005,5.988
pipelined,512,2048,162.950,12.568
pipelined,1024,4096,150.765,27.168
pipelined,2048,8192,154.794,52.922
pipelined,4096,16384,119.885,136.664
pipelined,8192,32768,155.965,210.098
pipelined,16384,65536,123.025,532.704
pipelined,32768,131072,154.589,847.872
pipelined,65536,262144,132.970,1971.458
pipelined,131072,524288,187.684,2793.457
pipelined,262144,1048576,821.135,1276.984
pipelined,524288,2097152,776.395,2701.142
pipelined,1048576,4194304,961.516,4362.178
pipelined,2097152,8388608,1510.645,5552.997
pipelined,4194304,16777216,1531.405,10955.437
pipelined,8388608,33554432,1919.130,17484.188
pipelined,16777216,67108864,3008.475,22306.603
pipelined,33554432,134217728,4137.170,32441.915
pipelined,67108864,268435456,7004.645,38322.493
pipelined,134217728,536870912,10448.105,51384.523
pipelined,268435456,1073741824,19901.130,53953.811
pipelined,536870912,2147483648,39620.426,54201.428
pipelined,1073741824,4294967296,74017.570,58026.321
