impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Classic,256,1024,72.570,5.378,57.000,86.000,14.111
Classic,512,2048,96.875,8.674,64.000,120.000,21.141
Classic,1024,4096,101.250,4.072,72.000,113.000,40.454
Classic,2048,8192,103.650,6.261,74.000,121.000,79.035
Classic,4096,16384,103.760,5.511,73.000,123.000,157.903
Classic,8192,32768,108.770,3.229,79.000,121.000,301.260
Classic,16384,65536,107.875,3.233,100.000,127.000,607.518
Classic,32768,131072,111.770,4.686,82.000,127.000,1172.694
Classic,65536,262144,122.355,7.759,92.000,142.000,2142.487
Classic,131072,524288,102.005,5.475,88.000,123.000,5139.826
Classic,262144,1048576,593.985,21.925,434.000,751.000,1765.324
Classic,524288,2097152,619.915,23.600,459.000,778.000,3382.967
Classic,1048576,4194304,1144.350,2203.267,490.000,14251.000,3665.228
Classic,2097152,8388608,1311.845,2265.574,628.000,14010.000,6394.512
Classic,4194304,16777216,1399.420,2000.161,800.000,16181.000,11988.692
Classic,8388608,33554432,1962.255,2274.491,1354.000,15391.000,17099.935
Classic,16777216,67108864,2612.055,2106.714,1910.000,15585.000,25691.980
Classic,33554432,134217728,4593.830,2890.684,3436.000,22316.000,29216.956
Classic,67108864,268435456,5739.070,2888.304,4832.000,21703.000,46773.337
Classic,134217728,536870912,11357.635,3806.794,9332.000,28137.000,47269.604
Classic,268435456,1073741824,22035.025,6557.838,18438.000,63041.000,48728.868
Classic,536870912,2147483648,39687.050,5627.576,36436.000,80385.000,54110.438
Classic,1073741824,4294967296,76952.195,8453.171,70796.000,158325.000,55813.448
Classic,2147483648,8589934592,148380.940,4323.355,144954.000,175777.000,57891.092
