impl,input_size,input_bytes,avg_latency,throughput
ring_p2p,256,1024,89.900,11.390
ring_p2p,512,2048,90.660,22.590
ring_p2p,1024,4096,90.126,45.448
ring_p2p,2048,8192,91.910,89.130
ring_p2p,4096,16384,92.845,176.466
ring_p2p,8192,32768,93.560,350.234
ring_p2p,16384,65536,90.054,727.739
ring_p2p,32768,131072,91.195,1437.270
ring_p2p,65536,262144,96.655,2712.165
ring_p2p,131072,524288,100.410,5221.473
ring_p2p,262144,1048576,1051.666,997.062
ring_p2p,524288,2097152,713.620,2938.751
ring_p2p,1048576,4194304,1109.099,3781.721
ring_p2p,2097152,8388608,711.880,11783.743
ring_p2p,4194304,16777216,1245.786,13467.174
ring_p2p,8388608,33554432,1498.345,22394.328
ring_p2p,16777216,67108864,1904.055,35245.236
ring_p2p,33554432,134217728,3173.795,42289.354
ring_p2p,67108864,268435456,4920.050,54559.499
ring_p2p,134217728,536870912,8661.735,61981.913
ring_p2p,268435456,1073741824,16645.991,64504.531
ring_p2p,536870912,2147483648,30747.485,69842.579
ring_p2p,1073741824,4294967296,59640.110,72014.745
