impl,input_size,input_bytes,avg_latency,throughput
ring_p2p,256,1024,302.761,3.382
ring_p2p,512,2048,352.809,5.805
ring_p2p,1024,4096,353.035,11.602
ring_p2p,2048,8192,353.684,23.162
ring_p2p,4096,16384,313.461,52.268
ring_p2p,8192,32768,358.330,91.446
ring_p2p,16384,65536,335.355,195.423
ring_p2p,32768,131072,334.285,392.096
ring_p2p,65536,262144,338.085,775.380
ring_p2p,131072,524288,357.549,1466.338
ring_p2p,262144,1048576,2468.436,424.794
ring_p2p,524288,2097152,2444.916,857.760
ring_p2p,1048576,4194304,2878.575,1457.076
ring_p2p,2097152,8388608,2692.266,3115.818
ring_p2p,4194304,16777216,2700.790,6211.966
ring_p2p,8388608,33554432,3399.600,9870.112
ring_p2p,16777216,67108864,3941.740,17025.189
ring_p2p,33554432,134217728,5182.490,25898.307
ring_p2p,67108864,268435456,8252.605,32527.359
ring_p2p,134217728,536870912,13599.035,39478.605
ring_p2p,268435456,1073741824,24426.895,43957.360
ring_p2p,536870912,2147483648,45974.311,46710.513
ring_p2p,1073741824,4294967296,88205.370,48692.810
