impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.599,222.653
nccl,512,2048,4.935,414.973
nccl,1024,4096,5.291,774.217
nccl,2048,8192,5.370,1525.405
nccl,4096,16384,4.900,3344.013
nccl,8192,32768,4.970,6593.377
nccl,16384,65536,5.260,12460.467
nccl,32768,131072,4.960,26424.216
nccl,65536,262144,4.960,52848.432
nccl,131072,524288,5.095,102902.352
nccl,262144,1048576,4.719,222179.667
nccl,524288,2097152,4.915,426684.115
nccl,1048576,4194304,4.740,884918.815
nccl,2097152,8388608,5.035,1665926.709
nccl,4194304,16777216,5.045,3325555.018
nccl,8388608,33554432,4.719,7109749.349
nccl,16777216,67108864,5.050,13289658.957
nccl,33554432,134217728,4.785,28049325.033
nccl,67108864,268435456,4.745,56577884.766
nccl,134217728,536870912,5.260,102076147.493
nccl,268435456,1073741824,4.801,223670207.468
nccl,536870912,2147483648,4.745,452623078.128
nccl,1073741824,4294967296,4.740,906156866.674
naive,256,1024,87.889,11.651
naive,512,2048,89.234,22.951
naive,1024,4096,91.630,44.701
naive,2048,8192,95.675,85.623
naive,4096,16384,95.536,171.496
naive,8192,32768,96.375,340.006
naive,16384,65536,96.620,678.284
naive,32768,131072,77.491,1691.452
naive,65536,262144,108.465,2416.854
naive,131072,524288,118.686,4417.439
naive,262144,1048576,603.230,1738.269
naive,524288,2097152,812.399,2581.430
naive,1048576,4194304,682.180,6148.384
naive,2097152,8388608,929.825,9021.703
naive,4194304,16777216,1091.745,15367.341
naive,8388608,33554432,1740.795,19275.345
naive,16777216,67108864,2070.191,32416.751
naive,33554432,134217728,3499.174,38356.973
naive,67108864,268435456,5407.220,49643.893
naive,134217728,536870912,9981.470,53786.757
naive,268435456,1073741824,19422.280,55284.027
naive,536870912,2147483648,37741.585,56899.668
naive,1073741824,4294967296,73332.781,58568.177
pipelined,256,1024,227.735,4.496
pipelined,512,2048,210.075,9.749
pipelined,1024,4096,192.549,21.272
pipelined,2048,8192,192.645,42.524
pipelined,4096,16384,159.576,102.672
pipelined,8192,32768,196.015,167.171
pipelined,16384,65536,201.354,325.476
pipelined,32768,131072,213.370,614.293
pipelined,65536,262144,212.965,1230.925
pipelined,131072,524288,232.490,2255.096
pipelined,262144,1048576,672.129,1560.081
pipelined,524288,2097152,989.981,2118.377
pipelined,1048576,4194304,1092.999,3837.427
pipelined,2097152,8388608,1026.180,8174.599
pipelined,4194304,16777216,2052.535,8173.901
pipelined,8388608,33554432,1988.140,16877.295
pipelined,16777216,67108864,2946.020,22779.498
pipelined,33554432,134217728,4245.861,31611.431
pipelined,67108864,268435456,7078.245,37924.015
pipelined,134217728,536870912,12804.340,41928.823
pipelined,268435456,1073741824,20344.449,52778.122
pipelined,536870912,2147483648,37799.264,56812.843
pipelined,1073741824,4294967296,72007.484,59646.123
