impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Classic NCCL_PROTO=LL,256,1024,99.405,7.842,74.000,127.000,10.301
Classic NCCL_PROTO=LL,512,2048,100.295,7.174,64.000,121.000,20.420
Classic NCCL_PROTO=LL,1024,4096,103.970,4.257,73.000,114.000,39.396
Classic NCCL_PROTO=LL,2048,8192,109.035,5.754,71.000,123.000,75.132
Classic NCCL_PROTO=LL,4096,16384,109.000,5.590,73.000,124.000,150.312
Classic NCCL_PROTO=LL,8192,32768,112.915,5.891,79.000,132.000,290.201
Classic NCCL_PROTO=LL,16384,65536,112.460,3.744,81.000,124.000,582.749
Classic NCCL_PROTO=LL,32768,131072,112.845,9.417,79.000,129.000,1161.522
Classic NCCL_PROTO=LL,65536,262144,124.245,12.592,89.000,203.000,2109.896
Classic NCCL_PROTO=LL,131072,524288,135.070,5.072,107.000,159.000,3881.602
Classic NCCL_PROTO=LL,262144,1048576,648.925,230.877,599.000,3896.000,1615.866
Classic NCCL_PROTO=LL,524288,2097152,721.065,474.914,638.000,5952.000,2908.409
Classic NCCL_PROTO=LL,1048576,4194304,689.335,26.346,659.000,891.000,6084.566
Classic NCCL_PROTO=LL,2097152,8388608,1345.465,2144.510,610.000,14624.000,6234.728
Classic NCCL_PROTO=LL,4194304,16777216,1516.910,2224.812,932.000,15387.000,11060.126
Classic NCCL_PROTO=LL,8388608,33554432,1947.400,2295.376,1355.000,16481.000,17230.375
Classic NCCL_PROTO=LL,16777216,67108864,2635.310,2239.296,1936.000,17599.000,25465.264
Classic NCCL_PROTO=LL,33554432,134217728,4597.405,3312.519,3447.000,27393.000,29194.236
Classic NCCL_PROTO=LL,67108864,268435456,6147.350,3204.287,4833.000,20407.000,43666.857
Classic NCCL_PROTO=LL,134217728,536870912,11142.290,3666.598,9358.000,25646.000,48183.175
Classic NCCL_PROTO=LL,268435456,1073741824,21438.120,5210.053,18486.000,46367.000,50085.634
Classic NCCL_PROTO=LL,536870912,2147483648,39932.245,5703.622,35343.000,63155.000,53778.185
Classic NCCL_PROTO=LL,1073741824,4294967296,75892.250,4117.675,72320.000,93068.000,56592.963
Classic NCCL_PROTO=LL,2147483648,8589934592,147239.775,2838.075,145177.000,170504.000,58339.770
Classic NCCL_PROTO=LL128,256,1024,100.375,12.918,62.000,126.000,10.202
Classic NCCL_PROTO=LL128,512,2048,99.480,9.068,63.000,127.000,20.587
Classic NCCL_PROTO=LL128,1024,4096,104.490,6.988,69.000,131.000,39.200
Classic NCCL_PROTO=LL128,2048,8192,107.995,7.560,78.000,127.000,75.855
Classic NCCL_PROTO=LL128,4096,16384,109.095,8.558,72.000,127.000,150.181
Classic NCCL_PROTO=LL128,8192,32768,113.640,6.734,75.000,139.000,288.349
Classic NCCL_PROTO=LL128,16384,65536,109.680,6.091,78.000,134.000,597.520
Classic NCCL_PROTO=LL128,32768,131072,112.495,11.161,77.000,140.000,1165.136
Classic NCCL_PROTO=LL128,65536,262144,126.145,11.699,86.000,185.000,2078.116
Classic NCCL_PROTO=LL128,131072,524288,134.720,6.268,122.000,188.000,3891.686
Classic NCCL_PROTO=LL128,262144,1048576,639.410,76.613,462.000,1649.000,1639.912
Classic NCCL_PROTO=LL128,524288,2097152,1207.830,2102.693,586.000,13008.000,1736.297
Classic NCCL_PROTO=LL128,1048576,4194304,1279.660,2824.272,597.000,31660.000,3277.671
Classic NCCL_PROTO=LL128,2097152,8388608,1325.120,2109.529,616.000,13403.000,6330.452
Classic NCCL_PROTO=LL128,4194304,16777216,1535.175,2219.036,922.000,15819.000,10928.536
Classic NCCL_PROTO=LL128,8388608,33554432,1934.335,2270.391,1359.000,17588.000,17346.753
Classic NCCL_PROTO=LL128,16777216,67108864,2594.010,2017.543,1930.000,14479.000,25870.704
Classic NCCL_PROTO=LL128,33554432,134217728,4566.960,3264.841,3421.000,35942.000,29388.856
Classic NCCL_PROTO=LL128,67108864,268435456,6129.195,3178.481,4839.000,19813.000,43796.201
Classic NCCL_PROTO=LL128,134217728,536870912,11159.060,3752.517,9342.000,27020.000,48110.765
Classic NCCL_PROTO=LL128,268435456,1073741824,21312.215,5106.839,18498.000,44487.000,50381.522
Classic NCCL_PROTO=LL128,536870912,2147483648,39521.865,4608.551,36320.000,56251.000,54336.597
Classic NCCL_PROTO=LL128,1073741824,4294967296,75521.125,3736.341,72474.000,91452.000,56871.071
Classic NCCL_PROTO=LL128,2147483648,8589934592,150629.670,8157.622,145573.000,211111.000,57026.843
Classic NCCL_PROTO=Simple,256,1024,101.060,9.758,63.000,125.000,10.133
Classic NCCL_PROTO=Simple,512,2048,96.425,9.857,64.000,121.000,21.239
Classic NCCL_PROTO=Simple,1024,4096,103.125,7.067,72.000,128.000,39.719
Classic NCCL_PROTO=Simple,2048,8192,106.545,8.250,75.000,133.000,76.888
Classic NCCL_PROTO=Simple,4096,16384,107.775,21.819,73.000,392.000,152.020
Classic NCCL_PROTO=Simple,8192,32768,110.865,7.171,78.000,129.000,295.567
Classic NCCL_PROTO=Simple,16384,65536,108.600,6.030,81.000,133.000,603.462
Classic NCCL_PROTO=Simple,32768,131072,114.145,8.696,79.000,142.000,1148.294
Classic NCCL_PROTO=Simple,65536,262144,125.155,10.067,91.000,149.000,2094.555
Classic NCCL_PROTO=Simple,131072,524288,132.655,5.270,111.000,163.000,3952.267
Classic NCCL_PROTO=Simple,262144,1048576,610.070,14.234,583.000,673.000,1718.780
Classic NCCL_PROTO=Simple,524288,2097152,645.160,25.402,483.000,831.000,3250.592
Classic NCCL_PROTO=Simple,1048576,4194304,1153.990,2162.983,561.000,15245.000,3634.610
Classic NCCL_PROTO=Simple,2097152,8388608,1338.625,2499.831,615.000,18279.000,6266.585
Classic NCCL_PROTO=Simple,4194304,16777216,973.770,75.976,792.000,1981.000,17229.136
Classic NCCL_PROTO=Simple,8388608,33554432,1949.950,2429.286,1355.000,22736.000,17207.842
Classic NCCL_PROTO=Simple,16777216,67108864,3119.785,3286.643,1921.000,20872.000,21510.734
Classic NCCL_PROTO=Simple,33554432,134217728,4565.355,2884.162,3430.000,18763.000,29399.188
