impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Classic NCCL_PROTO=LL,256,1024,225.125,36.420,154.000,314.000,4.549
Classic NCCL_PROTO=LL,512,2048,242.785,43.081,142.000,346.000,8.435
Classic NCCL_PROTO=LL,1024,4096,251.230,41.935,142.000,365.000,16.304
Classic NCCL_PROTO=LL,2048,8192,253.385,35.461,155.000,346.000,32.330
Classic NCCL_PROTO=LL,4096,16384,241.130,55.702,117.000,349.000,67.947
Classic NCCL_PROTO=LL,8192,32768,258.645,29.826,160.000,355.000,126.691
Classic NCCL_PROTO=LL,16384,65536,265.545,19.424,210.000,341.000,246.798
Classic NCCL_PROTO=LL,32768,131072,263.865,33.456,150.000,356.000,496.739
Classic NCCL_PROTO=LL,65536,262144,262.905,49.991,142.000,403.000,997.105
Classic NCCL_PROTO=LL,131072,524288,274.625,43.159,144.000,379.000,1909.105
Classic NCCL_PROTO=LL,262144,1048576,1882.525,1725.523,923.000,14733.000,557.005
Classic NCCL_PROTO=LL,524288,2097152,1907.725,1826.274,1240.000,14553.000,1099.295
Classic NCCL_PROTO=LL,1048576,4194304,2074.155,2601.014,1459.000,25729.000,2022.175
Classic NCCL_PROTO=LL,2097152,8388608,2177.170,2122.674,1328.000,18456.000,3852.987
Classic NCCL_PROTO=LL,4194304,16777216,2488.385,2026.801,1459.000,18391.000,6742.211
Classic NCCL_PROTO=LL,8388608,33554432,3033.310,2366.956,1770.000,17800.000,11061.986
Classic NCCL_PROTO=LL,16777216,67108864,4152.520,2779.663,2513.000,17720.000,16160.997
Classic NCCL_PROTO=LL,33554432,134217728,5510.585,3666.290,3927.000,38833.000,24356.348
Classic NCCL_PROTO=LL,67108864,268435456,8458.800,3261.596,6720.000,26051.000,31734.461
Classic NCCL_PROTO=LL,134217728,536870912,14883.835,4366.811,12086.000,44019.000,36070.738
Classic NCCL_PROTO=LL,268435456,1073741824,26908.550,4266.184,23563.000,43189.000,39903.370
Classic NCCL_PROTO=LL,536870912,2147483648,52164.790,6289.295,46274.000,87635.000,41167.302
Classic NCCL_PROTO=LL,1073741824,4294967296,100079.835,5743.490,92219.000,134044.000,42915.411
Classic NCCL_PROTO=LL,2147483648,8589934592,195128.925,7781.589,184430.000,234665.000,44021.841
Classic NCCL_PROTO=LL1128,256,1024,216.815,51.740,118.000,324.000,4.723
Classic NCCL_PROTO=LL1128,512,2048,270.305,50.854,127.000,407.000,7.577
Classic NCCL_PROTO=LL1128,1024,4096,253.235,41.236,120.000,351.000,16.175
Classic NCCL_PROTO=LL1128,2048,8192,255.305,38.206,141.000,354.000,32.087
Classic NCCL_PROTO=LL1128,4096,16384,254.480,34.750,131.000,344.000,64.382
Classic NCCL_PROTO=LL1128,8192,32768,264.270,22.910,199.000,330.000,123.994
Classic NCCL_PROTO=LL1128,16384,65536,276.005,33.734,139.000,380.000,237.445
Classic NCCL_PROTO=LL1128,32768,131072,250.795,46.607,127.000,367.000,522.626
Classic NCCL_PROTO=LL1128,65536,262144,256.945,38.696,138.000,375.000,1020.234
Classic NCCL_PROTO=LL1128,131072,524288,280.860,49.202,144.000,376.000,1866.724
Classic NCCL_PROTO=LL1128,262144,1048576,1933.205,1767.712,1429.000,13690.000,542.403
Classic NCCL_PROTO=LL1128,524288,2097152,1930.665,1701.668,1528.000,14010.000,1086.233
Classic NCCL_PROTO=LL1128,1048576,4194304,2131.030,2089.996,1474.000,16559.000,1968.205
Classic NCCL_PROTO=LL1128,2097152,8388608,2571.540,2966.582,1355.000,19548.000,3262.095
Classic NCCL_PROTO=LL1128,4194304,16777216,2375.905,1864.833,1432.000,15321.000,7061.400
Classic NCCL_PROTO=LL1128,8388608,33554432,2797.880,1746.909,1835.000,15863.000,11992.806
Classic NCCL_PROTO=LL1128,16777216,67108864,3976.055,2593.029,2588.000,20637.000,16878.253
Classic NCCL_PROTO=LL1128,33554432,134217728,5134.145,2574.218,3888.000,21809.000,26142.177
Classic NCCL_PROTO=LL1128,67108864,268435456,8444.375,3386.535,6544.000,25672.000,31788.671
Classic NCCL_PROTO=LL1128,134217728,536870912,14705.245,3720.201,12135.000,29378.000,36508.804
Classic NCCL_PROTO=LL1128,268435456,1073741824,26931.020,4473.065,23496.000,48802.000,39870.076
Classic NCCL_PROTO=LL1128,536870912,2147483648,52212.960,6652.646,46249.000,104212.000,41129.322
Classic NCCL_PROTO=LL1128,1073741824,4294967296,100293.505,5929.184,92424.000,134028.000,42823.982
Classic NCCL_PROTO=LL1128,2147483648,8589934592,194737.370,6137.929,184284.000,214714.000,44110.355
Classic NCCL_PROTO=Simple,256,1024,231.785,42.058,136.000,332.000,4.418
Classic NCCL_PROTO=Simple,512,2048,244.615,42.450,114.000,355.000,8.372
Classic NCCL_PROTO=Simple,1024,4096,247.790,51.909,120.000,376.000,16.530
Classic NCCL_PROTO=Simple,2048,8192,252.585,64.067,110.000,699.000,32.433
Classic NCCL_PROTO=Simple,4096,16384,247.280,46.448,114.000,355.000,66.257
Classic NCCL_PROTO=Simple,8192,32768,254.475,41.399,134.000,338.000,128.767
Classic NCCL_PROTO=Simple,16384,65536,246.165,52.585,134.000,424.000,266.228
Classic NCCL_PROTO=Simple,32768,131072,255.175,44.507,169.000,372.000,513.655
Classic NCCL_PROTO=Simple,65536,262144,255.610,46.292,155.000,374.000,1025.562
Classic NCCL_PROTO=Simple,131072,524288,271.175,50.131,145.000,387.000,1933.394
Classic NCCL_PROTO=Simple,262144,1048576,1830.415,1582.454,867.000,12922.000,572.862
Classic NCCL_PROTO=Simple,524288,2097152,1885.445,1647.988,1313.000,12564.000,1112.285
Classic NCCL_PROTO=Simple,1048576,4194304,2004.880,2100.932,1241.000,16228.000,2092.047
Classic NCCL_PROTO=Simple,2097152,8388608,2201.015,2155.930,1294.000,16948.000,3811.245
Classic NCCL_PROTO=Simple,4194304,16777216,2433.740,1885.969,1474.000,17167.000,6893.594
Classic NCCL_PROTO=Simple,8388608,33554432,3414.355,4591.355,1881.000,46401.000,9827.458
Classic NCCL_PROTO=Simple,16777216,67108864,3907.700,2364.929,2634.000,17442.000,17173.494
Classic NCCL_PROTO=Simple,33554432,134217728,5399.575,2948.579,3931.000,25091.000,24857.091
Classic NCCL_PROTO=Simple,67108864,268435456,8590.490,3477.416,6591.000,22724.000,31247.980
Classic NCCL_PROTO=Simple,134217728,536870912,14907.400,4543.237,12022.000,41149.000,36013.719
