impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,15.035,68.109
nccl,512,2048,15.296,133.893
nccl,1024,4096,15.355,266.747
nccl,2048,8192,16.030,511.039
nccl,4096,16384,18.394,890.726
nccl,8192,32768,19.585,1673.126
nccl,16384,65536,20.095,3261.291
nccl,32768,131072,20.230,6479.149
nccl,65536,262144,20.430,12831.271
nccl,131072,524288,26.081,20102.599
nccl,262144,1048576,36.784,28505.989
nccl,524288,2097152,58.200,36033.317
nccl,1048576,4194304,89.595,46813.875
nccl,2097152,8388608,129.199,64927.795
nccl,4194304,16777216,205.855,81500.016
nccl,8388608,33554432,326.105,102894.452
nccl,16777216,67108864,551.981,121578.272
nccl,33554432,134217728,1023.049,131193.796
nccl,67108864,268435456,1961.094,136880.454
nccl,134217728,536870912,3775.610,142194.493
nccl,268435456,1073741824,7368.060,145729.238
nccl,536870912,2147483648,14379.079,149347.785
nccl,1073741824,4294967296,28459.220,150916.550
naive,256,1024,293.345,3.491
naive,512,2048,293.936,6.968
naive,1024,4096,283.995,14.423
naive,2048,8192,289.825,28.265
naive,4096,16384,288.630,56.765
naive,8192,32768,298.685,109.708
naive,16384,65536,289.290,226.541
naive,32768,131072,311.015,421.434
naive,65536,262144,314.990,832.229
naive,131072,524288,305.974,1713.502
naive,262144,1048576,2218.521,472.646
naive,524288,2097152,2304.170,910.155
naive,1048576,4194304,2422.470,1731.416
naive,2097152,8388608,2656.395,3157.891
naive,4194304,16777216,2856.820,5872.690
naive,8388608,33554432,3626.181,9253.381
naive,16777216,67108864,4679.650,14340.573
naive,33554432,134217728,5763.354,23288.127
naive,67108864,268435456,8829.595,30401.786
naive,134217728,536870912,15240.721,35226.085
naive,268435456,1073741824,27756.450,38684.407
naive,536870912,2147483648,53169.855,40389.120
naive,1073741824,4294967296,102106.985,42063.403
