impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
NCCL,256,1024,5.040,1.378,4.000,20.000,203.175
NCCL,512,2048,4.690,1.294,4.000,19.000,436.674
NCCL,1024,4096,4.595,0.742,4.000,12.000,891.404
NCCL,2048,8192,4.660,0.839,4.000,14.000,1757.940
NCCL,4096,16384,5.005,0.644,4.000,12.000,3273.526
NCCL,8192,32768,4.715,0.751,4.000,13.000,6949.735
NCCL,16384,65536,5.315,1.239,4.000,21.000,12330.386
NCCL,32768,131072,4.820,0.638,4.000,11.000,27193.361
NCCL,65536,262144,5.010,0.755,4.000,13.000,52324.152
NCCL,131072,524288,4.855,0.681,4.000,12.000,107989.289
NCCL,262144,1048576,4.820,0.409,4.000,6.000,217546.888
NCCL,524288,2097152,11.785,97.347,4.000,1385.000,177950.955
NCCL,1048576,4194304,4.800,0.412,4.000,6.000,873813.333
NCCL,2097152,8388608,5.150,4.495,4.000,68.000,1628855.922
NCCL,4194304,16777216,5.095,3.922,4.000,60.000,3292878.508
NCCL,8388608,33554432,5.075,3.922,4.000,60.000,6611710.739
NCCL,16777216,67108864,5.750,8.270,4.000,122.000,11671106.783
NCCL,33554432,134217728,4.835,0.517,4.000,6.000,27759612.823
NCCL,67108864,268435456,5.250,5.602,4.000,84.000,51130563.048
NCCL,134217728,536870912,4.760,0.439,4.000,6.000,112788006.723
NCCL,268435456,1073741824,4.785,0.446,4.000,7.000,224397455.381
NCCL,536870912,2147483648,4.820,0.527,4.000,9.000,445536026.556
NCCL,1073741824,4294967296,4.870,0.874,4.000,15.000,881923469.405
NCCL,2147483648,8589934592,4.770,0.705,4.000,12.000,1800824862.055
Classic,256,1024,64.950,5.109,51.000,80.000,15.766
Classic,512,2048,67.810,8.336,51.000,149.000,30.202
Classic,1024,4096,97.490,6.622,64.000,116.000,42.015
Classic,2048,8192,94.030,6.777,64.000,115.000,87.121
Classic,4096,16384,96.870,8.574,63.000,123.000,169.134
Classic,8192,32768,75.650,4.275,59.000,92.000,433.153
Classic,16384,65536,95.380,7.125,65.000,118.000,687.104
Classic,32768,131072,78.925,4.378,63.000,97.000,1660.716
Classic,65536,262144,109.010,9.701,78.000,147.000,2404.770
Classic,131072,524288,118.660,4.430,109.000,139.000,4418.406
Classic,262144,1048576,665.355,483.986,564.000,6134.000,1575.965
Classic,524288,2097152,766.920,1186.937,496.000,12604.000,2734.512
Classic,1048576,4194304,878.555,1672.756,623.000,20560.000,4774.094
Classic,2097152,8388608,734.960,23.426,567.000,888.000,11413.693
Classic,4194304,16777216,912.080,56.567,869.000,1672.000,18394.457
Classic,8388608,33554432,1423.330,1238.504,1075.000,13478.000,23574.598
Classic,16777216,67108864,2266.290,2508.649,1700.000,34964.000,29611.773
Classic,33554432,134217728,3523.105,1794.182,2911.000,18128.000,38096.431
Classic,67108864,268435456,5256.815,1894.713,4814.000,17625.000,51064.277
Classic,134217728,536870912,10383.725,3596.172,9259.000,47802.000,51703.113
Classic,268435456,1073741824,19491.090,2981.055,18374.000,35517.000,55088.855
Classic,536870912,2147483648,37975.925,3794.275,36127.000,72842.000,56548.554
Classic,1073741824,4294967296,74037.420,2765.412,71219.000,92477.000,58010.764
Classic,2147483648,8589934592,146032.885,2887.590,139768.000,168891.000,58821.919
Async,256,1024,193.860,5.788,182.000,216.000,5.282
Async,512,2048,173.295,4.845,147.000,192.000,11.818
Async,1024,4096,187.115,6.038,171.000,219.000,21.890
Async,2048,8192,170.025,8.521,130.000,220.000,48.181
Async,4096,16384,177.665,9.053,121.000,216.000,92.219
Async,8192,32768,174.575,7.217,146.000,205.000,187.702
Async,16384,65536,177.155,9.577,129.000,220.000,369.936
Async,32768,131072,166.575,7.163,145.000,199.000,786.865
Async,65536,262144,172.145,7.197,156.000,193.000,1522.809
Async,131072,524288,177.660,8.183,150.000,210.000,2951.075
Async,262144,1048576,670.820,818.442,429.000,11433.000,1563.126
Async,524288,2097152,692.995,196.858,483.000,2929.000,3026.215
Async,1048576,4194304,715.200,151.761,512.000,1022.000,5864.519
Async,2097152,8388608,1446.440,1827.655,1093.000,26479.000,5799.486
Async,4194304,16777216,1570.735,1752.007,1191.000,23576.000,10681.124
Async,8388608,33554432,1736.000,1910.956,1359.000,24251.000,19328.590
Async,16777216,67108864,2204.680,1994.439,1775.000,27382.000,30439.276
Async,33554432,134217728,3121.815,2455.304,2559.000,25481.000,42993.492
Async,67108864,268435456,4694.805,2438.512,4113.000,29213.000,57177.126
Async,134217728,536870912,8493.530,3614.284,7441.000,32049.000,63209.397
Async,268435456,1073741824,16432.310,6384.138,14404.000,87300.000,65343.328
Async,536870912,2147483648,31396.450,5020.414,28565.000,49653.000,68398.932
Async,1073741824,4294967296,60162.825,5790.996,56803.000,119255.000,71389.056
Async,2147483648,8589934592,120364.180,6704.273,112581.000,138858.000,71366.204
