impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Async-2,256,1024,204.345,8.608,169.000,260.000,5.011
Async-2,512,2048,181.015,8.099,147.000,209.000,11.314
Async-2,1024,4096,180.205,8.043,149.000,215.000,22.730
Async-2,2048,8192,182.205,15.259,150.000,232.000,44.960
Async-2,4096,16384,174.235,8.567,142.000,206.000,94.034
Async-2,8192,32768,190.380,36.311,165.000,689.000,172.119
Async-2,16384,65536,173.125,12.344,127.000,227.000,378.547
Async-2,32768,131072,177.145,7.863,141.000,217.000,739.914
Async-2,65536,262144,187.805,11.137,149.000,235.000,1395.831
Async-2,131072,524288,185.590,8.874,161.000,253.000,2824.980
Async-2,262144,1048576,714.560,179.674,490.000,2566.000,1467.443
Async-2,524288,2097152,1232.795,2144.167,523.000,13192.000,1701.136
Async-2,1048576,4194304,750.660,285.849,526.000,4187.000,5587.488
Async-2,2097152,8388608,1889.725,3370.691,1098.000,30819.000,4439.063
Async-2,4194304,16777216,1968.350,3467.853,1208.000,28635.000,8523.492
Async-2,8388608,33554432,2181.780,3192.171,1383.000,28520.000,15379.384
Async-2,16777216,67108864,2575.395,3444.835,1773.000,32071.000,26057.698
Async-2,33554432,134217728,3775.215,4338.012,2541.000,32446.000,35552.340
Async-2,67108864,268435456,5694.050,5135.138,4076.000,41992.000,47143.150
Async-2,134217728,536870912,9642.925,6765.820,7433.000,61102.000,55675.110
Async-2,268435456,1073741824,17848.150,7079.554,14354.000,52686.000,60159.839
Async-2,536870912,2147483648,34862.020,12000.414,28397.000,100198.000,61599.519
Async-2,1073741824,4294967296,63149.300,8490.265,56273.000,94939.000,68012.904
Async-4,256,1024,293.430,16.215,207.000,341.000,3.490
Async-4,512,2048,270.050,12.387,187.000,312.000,7.584
Async-4,1024,4096,191.950,12.594,166.000,220.000,21.339
Async-4,2048,8192,247.730,53.067,176.000,906.000,33.068
Async-4,4096,16384,241.855,12.221,202.000,290.000,67.743
Async-4,8192,32768,192.835,10.457,166.000,234.000,169.928
Async-4,16384,65536,245.925,11.749,201.000,293.000,266.488
Async-4,32768,131072,244.220,10.738,207.000,290.000,536.696
Async-4,65536,262144,191.745,12.658,160.000,229.000,1367.149
Async-4,131072,524288,248.830,13.587,206.000,305.000,2107.013
Async-4,262144,1048576,815.170,598.986,560.000,6990.000,1286.328
Async-4,524288,2097152,1317.980,2362.386,591.000,18158.000,1591.187
Async-4,1048576,4194304,692.605,112.966,528.000,895.000,6055.838
Async-4,2097152,8388608,1377.455,2158.655,630.000,15961.000,6089.933
Async-4,4194304,16777216,2043.005,3318.833,1259.000,26730.000,8212.029
Async-4,8388608,33554432,2243.880,3245.609,1438.000,29877.000,14953.755
Async-4,16777216,67108864,2583.870,3371.487,1819.000,28087.000,25972.229
Async-4,33554432,134217728,3258.890,3012.489,2573.000,26760.000,41185.105
Async-4,67108864,268435456,5477.605,6524.364,4075.000,80572.000,49005.990
Async-4,134217728,536870912,9485.200,5876.281,7295.000,37643.000,56600.906
Async-4,268435456,1073741824,17354.955,6979.906,14091.000,44062.000,61869.467
Async-4,536870912,2147483648,31357.370,6763.187,27639.000,54906.000,68484.176
Async-4,1073741824,4294967296,62516.555,10629.898,54667.000,120377.000,68701.279
Async-8,256,1024,359.745,38.539,291.000,449.000,2.846
Async-8,512,2048,330.555,15.593,292.000,366.000,6.196
Async-8,1024,4096,373.245,18.991,307.000,434.000,10.974
Async-8,2048,8192,312.495,14.284,273.000,353.000,26.215
Async-8,4096,16384,363.370,15.955,313.000,437.000,45.089
Async-8,8192,32768,370.660,14.099,330.000,424.000,88.404
Async-8,16384,65536,366.305,15.722,322.000,424.000,178.911
Async-8,32768,131072,361.550,27.367,298.000,540.000,362.528
Async-8,65536,262144,357.860,16.418,318.000,422.000,732.532
Async-8,131072,524288,366.645,14.986,327.000,443.000,1429.961
Async-8,262144,1048576,869.350,135.315,689.000,1104.000,1206.161
Async-8,524288,2097152,1252.150,1953.584,699.000,13363.000,1674.841
Async-8,1048576,4194304,1446.855,2295.989,710.000,19555.000,2898.911
Async-8,2097152,8388608,960.645,124.946,756.000,1190.000,8732.266
Async-8,4194304,16777216,1654.090,2735.801,863.000,24318.000,10142.868
Async-8,8388608,33554432,2355.590,3789.399,1578.000,40771.000,14244.598
Async-8,16777216,67108864,2520.890,3127.570,1810.000,33098.000,26621.100
Async-8,33554432,134217728,3903.435,4573.038,2657.000,35512.000,34384.517
Async-8,67108864,268435456,5772.980,5239.042,4148.000,40201.000,46498.594
Async-8,134217728,536870912,9593.155,7904.353,7342.000,89952.000,55963.957
Async-8,268435456,1073741824,17296.480,7484.099,13971.000,60186.000,62078.632
Async-8,536870912,2147483648,31192.360,7311.851,27350.000,67793.000,68846.463
Async-8,1073741824,4294967296,58267.940,5716.201,54009.000,82157.000,73710.643
