impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Async,256,1024,637.065,75.613,454.000,838.000,1.607
Async,512,2048,670.870,63.599,485.000,873.000,3.053
Async,1024,4096,540.445,96.882,304.000,773.000,7.579
Async,2048,8192,604.415,70.810,396.000,754.000,13.554
Async,4096,16384,491.615,80.344,278.000,662.000,33.327
Async,8192,32768,524.365,89.521,300.000,716.000,62.491
Async,16384,65536,514.925,60.823,379.000,675.000,127.273
Async,32768,131072,518.495,66.416,360.000,722.000,252.793
Async,65536,262144,519.145,61.295,386.000,876.000,504.953
Async,131072,524288,514.650,58.323,340.000,692.000,1018.727
Async,262144,1048576,3261.375,8694.439,1304.000,113809.000,321.513
Async,524288,2097152,2928.125,3441.731,1129.000,24303.000,716.210
Async,1048576,4194304,2636.705,2502.129,1183.000,24923.000,1590.737
Async,2097152,8388608,2697.350,2724.802,1171.000,25340.000,3109.944
Async,4194304,16777216,5317.890,6108.471,3215.000,48243.000,3154.863
Async,8388608,33554432,5557.160,5671.239,3433.000,42918.000,6038.054
Async,16777216,67108864,6327.560,6360.028,4184.000,55003.000,10605.804
Async,33554432,134217728,7559.160,5958.912,5260.000,53053.000,17755.641
Async,67108864,268435456,10143.860,5357.212,7602.000,40511.000,26462.851
Async,134217728,536870912,15178.475,7137.926,12078.000,55667.000,35370.544
Async,268435456,1073741824,25420.050,8604.940,21096.000,82046.000,42239.957
Async,536870912,2147483648,46531.575,9845.409,40139.000,113743.000,46151.106
Async,1073741824,4294967296,89874.870,11018.617,79552.000,122290.000,47788.301
